0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/39cee7a7-8bf6-4f8c-ad79-0dc44290f59b/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/3eb96999-a69e-439b-87c8-d40c6b1bef08/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/5e477659-1616-4db4-9b2e-37bc3977c5ad/bundles?size=9999 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/97ff5133-2c86-4347-9e81-b85170c21e6c/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/4029a010-2714-4b5f-8b24-8ab6275c554f/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/27e1b121-8c26-493e-abe9-a45eb04b704d/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/5e477659-1616-4db4-9b2e-37bc3977c5ad/bundles?size=9999 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/27e1b121-8c26-493e-abe9-a45eb04b704d/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/89e579e0-bbd0-4e6e-b89f-597ffebacfd5/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/27e1b121-8c26-493e-abe9-a45eb04b704d/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/09e049f2-99af-4790-a63a-8d346343dfba/bundles?size=9999 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/27e1b121-8c26-493e-abe9-a45eb04b704d/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/89e579e0-bbd0-4e6e-b89f-597ffebacfd5/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/20901fb5-6fed-4c5c-b7f2-bac3067cdc47/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/09e049f2-99af-4790-a63a-8d346343dfba/bundles?size=9999 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/20901fb5-6fed-4c5c-b7f2-bac3067cdc47/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/ec87e2fe-3d56-4893-98d4-9ca1e77431e6/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/20901fb5-6fed-4c5c-b7f2-bac3067cdc47/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/b28e35d4-c5c1-4eb7-90e2-ca209af9e9aa/bundles?size=9999 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/20901fb5-6fed-4c5c-b7f2-bac3067cdc47/bitstreams?page=0&size=5 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/ec87e2fe-3d56-4893-98d4-9ca1e77431e6/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/73c55df0-1467-4b4b-a162-dd9e6dc6eb7d/bitstreams?page=0&size=5 HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/b28e35d4-c5c1-4eb7-90e2-ca209af9e9aa/bundles?size=9999 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/bundles/73c55df0-1467-4b4b-a162-dd9e6dc6eb7d/bitstreams?page=0&size=5 HTTP/1.1" 200 1931
