0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:22 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:22 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:22 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:22 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:22 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:30 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:30 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:32 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:32 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:33 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:51:33 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:29 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:29 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:29 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:29 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:29 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:29 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:36 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:36 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:43 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:43 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:45 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:45 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:45 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:52:46 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:27:37 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:28:01 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:29:55 +0530] "POST /server/api/eperson/epersons/ad43d749-48ec-4ea8-8598-3eaeceed4929 HTTP/1.1" 403 214
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:31:13 +0530] "POST /server/api/eperson/epersons/ad43d749-48ec-4ea8-8598-3eaeceed4929 HTTP/1.1" 403 214
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:34:10 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:34:10 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:34:10 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:34:10 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:34:25 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:34:25 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:34:37 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:34:37 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:35:53 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:35:53 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:36:09 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:39:07 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:39:07 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:39:07 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:39:07 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:39:14 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:39:16 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:39:16 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:40:01 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:40:01 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:40:04 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:40:04 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:40:06 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:40:06 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:47:14 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:47:19 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:47:19 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:47:30 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:23:47:30 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
